year,name,marijuana,alcohol,other_illicit,gen_country,gen_hiphop,gen_rap,gen_rock
2019,Old Town Road,0,0,0,1,1,1,0
2019,Senorita,0,0,0,0,0,0,0
2019,Bad Guy,0,0,0,0,1,1,0
2019,Talk,0,0,0,0,0,0,0
2019,I Don't Care,0,0,0,0,0,0,0
2019,Sucker,0,0,0,0,0,0,1
2019,Suge,0,0,0,0,1,1,0
2019,Money In The Grave,0,0,0,0,1,1,0
2019,No Guidance,0,0,0,0,1,1,0
2019,Wow.,0,0,1,0,1,1,0
2019,Truth Hurts,0,0,0,0,0,1,0
2019,Sunflower,1,0,0,0,1,1,0
2019,You Need To Calm Down,0,0,0,0,0,0,0
2019,If I Can't Have You,0,0,0,0,0,0,0
2019,Dancing With A Stranger,0,0,0,0,0,0,0
2019,Panini,0,0,0,0,1,1,0
2019,Without Me,0,0,0,0,1,0,0
2019,God's Country,1,0,0,1,0,0,0
2019,Pop Out,0,0,1,0,1,1,0
2019,MEGATRON,1,0,0,0,1,1,0
2019,Sweet But Psycho,0,0,0,0,1,0,0
2019,Rodeo,0,1,0,1,1,1,0
2019,7 Rings,0,0,0,0,1,1,0
2019,"Hey Look Ma, I Made It",0,0,0,0,0,0,1
2019,Happier,0,0,0,0,0,0,1
2019,Rumor,0,0,0,1,0,0,0
2019,Never Really Over,0,0,0,0,0,0,0
2019,Whiskey Glasses,1,1,0,1,0,0,0
2019,The Git Up,0,0,0,1,1,1,0
2019,The London,1,0,1,0,1,1,0
2019,ME!,0,0,0,0,0,0,0
2019,High Hopes,0,0,1,0,0,0,1
2019,Beer Never Broke My Heart,0,0,0,1,0,0,1
2019,Act Up,0,0,1,0,1,1,0
2019,Eastside,0,0,0,0,1,0,0
2019,Middle Child,1,0,1,0,1,1,0
2019,Con Calma,1,0,0,0,0,0,0
2019,Pure Water,0,0,1,0,1,1,0
2019,Cross Me,0,0,0,0,1,1,0
2019,Going Bad,0,0,1,0,1,1,0
2019,Better,0,0,0,0,1,0,0
2019,Shallow,1,0,0,1,0,0,1
2019,Press,0,0,1,0,1,1,0
2019,Speechless,0,0,0,1,0,0,0
2019,Sicko Mode,0,0,0,0,1,1,0
2019,Earfquake,0,0,0,0,1,1,0
2019,Look Back At It,0,0,1,0,0,1,0
2019,Shotta Flow,0,0,1,0,0,1,0
2019,"Break Up With Your Girlfriend, I'm Bored",0,0,0,0,1,1,0
2019,Nightmare,0,0,0,0,0,0,1
2019,Go Loko,0,0,0,0,1,1,0
2019,Someone You Loved,0,0,0,0,0,0,0
2019,Look What God Gave Her,0,1,1,1,0,0,0
2019,Cool,1,0,0,0,0,0,1
2019,Clout,0,0,1,0,1,1,0
2019,One Thing Right,0,0,0,0,0,0,0
2019,Good As You,0,0,0,1,0,0,0
2019,Worth It,1,0,0,0,1,1,0
2019,Just Us,0,0,1,0,1,1,0
2019,Knockin' Boots,0,0,1,1,0,0,0
2019,Walk Me Home,0,0,0,0,0,0,0
2019,GIRL,0,0,0,1,0,0,0
2019,Easier,0,0,0,0,0,0,0
2019,Please Me,0,0,1,0,1,1,0
2019,Some Of It,1,0,0,1,0,0,0
2019,All To Myself,0,0,1,1,0,0,0
2019,Callaita,0,0,0,0,0,0,0
2019,24/7,0,0,1,0,1,1,0
2019,It's You,0,0,0,0,1,0,0
2019,Rearview Town,1,1,1,1,0,0,0
2019,Out The Mud,0,0,1,0,1,1,0
2019,Call You Mine,0,0,0,0,0,0,0
2019,Girls Need Love,1,0,0,0,1,0,0
2019,Soltera,0,0,1,0,0,0,0
2019,Talk You Out Of It,0,0,0,1,0,0,0
2019,Trampoline,0,0,0,0,0,0,0
2019,Bacc At It Again,1,0,1,0,1,1,0
2019,Before I Let Go,1,0,0,0,1,1,0
2019,Wish Wish,1,1,1,0,1,1,0
2019,Raised On Country,0,0,0,1,0,0,0
2019,Wake Up,1,0,0,0,1,1,0
2019,Otro Trago,0,0,1,0,0,0,0
2019,Eyes On You,0,0,1,1,0,0,0
2019,La La Land,1,0,0,0,1,1,0
2019,Ocean Eyes,0,0,0,0,0,0,0
2019,Here With Me,0,0,0,0,0,0,0
2019,Love Someone,0,0,0,1,0,0,0
2019,Sanguine Paradise,0,0,0,0,1,1,0
2019,Love Ain't,0,0,0,1,0,0,0
2019,Calma,0,0,1,0,0,0,0
2019,Only Human,0,0,0,0,0,0,0
2019,The Ones That Didn't Make It Back Home,0,0,0,1,0,0,0
2019,Big Ole Freak,0,0,1,0,0,1,0
2019,Tap,0,0,0,0,1,1,0
2019,You Stay,0,0,1,0,1,1,0
2019,Baila Baila Baila,0,0,1,0,0,0,0
2019,Cash Shit,0,0,0,0,1,1,0
2019,Omerta,0,0,1,0,1,1,0
2019,Summer Days,1,0,0,0,1,1,0
2019,Old Town Road,0,0,0,1,1,1,0
2019,You Need To Calm Down,0,0,0,0,0,0,0
2019,Bad Guy,0,0,0,0,1,1,0
2019,Talk,0,0,0,0,0,0,0
2019,I Don't Care,0,0,0,0,0,0,0
2019,Sucker,0,0,0,0,0,0,1
2019,Money In The Grave,0,0,0,0,1,1,0
2019,Wow.,0,0,1,0,1,1,0
2019,Suge,0,0,0,0,1,1,0
2019,No Guidance,0,0,0,0,1,1,0
2019,Sunflower,1,0,0,0,1,1,0
2019,Dancing With A Stranger,0,0,0,0,0,0,0
2019,If I Can't Have You,0,0,0,0,0,0,0
2019,Truth Hurts,0,0,0,0,0,1,0
2019,ME!,0,0,0,0,0,0,0
2019,Without Me,0,0,0,0,1,0,0
2019,Sweet But Psycho,0,0,0,0,1,0,0
2019,Pop Out,0,0,1,0,1,1,0
2019,7 Rings,0,0,0,0,1,1,0
2019,Happier,0,0,0,0,0,0,1
2019,God's Country,1,0,0,1,0,0,0
2019,Whiskey Glasses,1,1,0,1,0,0,0
2019,High Hopes,0,0,1,0,0,0,1
2019,"Hey Look Ma, I Made It",0,0,0,0,0,0,1
2019,Rumor,0,0,0,1,0,0,0
2019,The London,1,0,1,0,1,1,0
2019,Con Calma,1,0,0,0,0,0,0
2019,Beer Never Broke My Heart,0,0,0,1,0,0,1
2019,Never Really Over,0,0,0,0,0,0,0
2019,Middle Child,1,0,1,0,1,1,0
2019,Eastside,0,0,0,0,1,0,0
2019,Act Up,0,0,1,0,1,1,0
2019,Pure Water,0,0,1,0,1,1,0
2019,Going Bad,0,0,1,0,1,1,0
2019,Omerta,0,0,1,0,1,1,0
2019,Earfquake,0,0,0,0,1,1,0
2019,Look What God Gave Her,0,1,1,1,0,0,0
2019,Better,0,0,0,0,1,0,0
2019,Shallow,1,0,0,1,0,0,1
2019,Look Back At It,0,0,1,0,0,1,0
2019,"Break Up With Your Girlfriend, I'm Bored",0,0,0,0,1,1,0
2019,Sicko Mode,0,0,0,0,1,1,0
2019,Speechless,0,0,0,1,0,0,0
2019,Nightmare,0,0,0,0,0,0,1
2019,When The Party's Over,1,0,1,0,1,0,0
2019,Cross Me,0,0,0,0,1,1,0
2019,Envy Me,0,0,1,0,0,1,0
2019,Good As You,0,0,0,1,0,0,0
2019,Go Loko,0,0,0,0,1,1,0
2019,Cool,1,0,0,0,0,0,1
2019,The Git Up,0,0,0,1,1,1,0
2019,Just Us,0,0,1,0,1,1,0
2019,Someone You Loved,0,0,0,0,0,0,0
2019,Walk Me Home,0,0,0,0,0,0,0
2019,Worth It,1,0,0,0,1,1,0
2019,Please Me,0,0,1,0,1,1,0
2019,Clout,0,0,1,0,1,1,0
2019,Knockin' Boots,0,0,1,1,0,0,0
2019,Press,0,0,1,0,1,1,0
2019,GIRL,0,0,0,1,0,0,0
2019,Easier,0,0,0,0,0,0,0
2019,24/7,0,0,1,0,1,1,0
2019,Girls Need Love,1,0,0,0,1,0,0
2019,Some Of It,1,0,0,1,0,0,0
2019,All To Myself,0,0,1,1,0,0,0
2019,Shotta Flow,0,0,1,0,0,1,0
2019,Callaita,0,0,0,0,0,0,0
2019,Rearview Town,1,1,1,1,0,0,0
2019,Miss Me More,1,0,0,1,0,0,0
2019,Love Someone,0,0,0,1,0,0,0
2019,Before I Let Go,1,0,0,0,1,1,0
2019,Talk You Out Of It,0,0,0,1,0,0,0
2019,Wish Wish,1,1,1,0,1,1,0
2019,Down Bad,0,0,1,0,1,1,0
2019,Eyes On You,0,0,1,1,0,0,0
2019,Soltera,0,0,1,0,0,0,0
2019,Sanguine Paradise,0,0,0,0,1,1,0
2019,Here With Me,0,0,0,0,0,0,0
2019,Sanctuary,0,0,1,0,1,0,0
2019,Otro Trago,0,0,1,0,0,0,0
2019,Call You Mine,0,0,0,0,0,0,0
2019,Raised On Country,0,0,0,1,0,0,0
2019,Trampoline,0,0,0,0,0,0,0
2019,Love Ain't,0,0,0,1,0,0,0
2019,Ocean Eyes,0,0,0,0,0,0,0
2019,Bacc At It Again,1,0,1,0,1,1,0
2019,Calma,0,0,1,0,0,0,0
2019,Wake Up,1,0,0,0,1,1,0
2019,La La Land,1,0,0,0,1,1,0
2019,Only Human,0,0,0,0,0,0,0
2019,Rescue Me,0,0,0,0,0,0,1
2019,Big Ole Freak,0,0,1,0,0,1,0
2019,Te Robare,0,0,1,0,0,0,0
2019,Tap,0,0,0,0,1,1,0
2019,Baila Baila Baila,0,0,1,0,0,0,0
2019,It's You,0,0,0,0,1,0,0
2019,Robbery,1,0,1,0,1,1,0
2019,Racks In The Middle,1,0,1,0,0,1,0
2019,The Ones That Didn't Make It Back Home,0,0,0,1,0,0,0
2019,Old Town Road,0,0,0,1,1,1,0
2019,Bad Guy,0,0,0,0,1,1,0
2019,Talk,0,0,0,0,0,0,0
2019,Sucker,0,0,0,0,0,0,1
2019,I Don't Care,0,0,0,0,0,0,0
2019,Wow.,0,0,1,0,1,1,0
2019,Sunflower,1,0,0,0,1,1,0
2019,Suge,0,0,0,0,1,1,0
2019,No Guidance,0,0,0,0,1,1,0
2019,Dancing With A Stranger,0,0,0,0,0,0,0
2019,Pop Out,0,0,1,0,1,1,0
2019,If I Can't Have You,0,0,0,0,0,0,0
2019,Sweet But Psycho,0,0,0,0,1,0,0
2019,ME!,0,0,0,0,0,0,0
2019,Without Me,0,0,0,0,1,0,0
2019,7 Rings,0,0,0,0,1,1,0
2019,Truth Hurts,0,0,0,0,0,1,0
2019,Happier,0,0,0,0,0,0,1
2019,God's Country,1,0,0,1,0,0,0
2019,Whiskey Glasses,1,1,0,1,0,0,0
2019,High Hopes,0,0,1,0,0,0,1
2019,Beer Never Broke My Heart,0,0,0,1,0,0,1
2019,Con Calma,1,0,0,0,0,0,0
2019,The London,1,0,1,0,1,1,0
2019,Middle Child,1,0,1,0,1,1,0
2019,Act Up,0,0,1,0,1,1,0
2019,Eastside,0,0,0,0,1,0,0
2019,Never Really Over,0,0,0,0,0,0,0
2019,Pure Water,0,0,1,0,1,1,0
2019,Earfquake,0,0,0,0,1,1,0
2019,"Hey Look Ma, I Made It",0,0,0,0,0,0,1
2019,Going Bad,0,0,1,0,1,1,0
2019,Speechless,0,0,0,1,0,0,0
2019,Shallow,1,0,0,1,0,0,1
2019,Better,0,0,0,0,1,0,0
2019,Rumor,0,0,0,1,0,0,0
2019,"Break Up With Your Girlfriend, I'm Bored",0,0,0,0,1,1,0
2019,Sicko Mode,0,0,0,0,1,1,0
2019,Look What God Gave Her,0,1,1,1,0,0,0
2019,Look Back At It,0,0,1,0,0,1,0
2019,Envy Me,0,0,1,0,0,1,0
2019,When The Party's Over,1,0,1,0,1,0,0
2019,Nightmare,0,0,0,0,0,0,1
2019,Cool,1,0,0,0,0,0,1
2019,Beautiful Crazy,0,0,0,1,0,0,0
2019,Good As You,0,0,0,1,0,0,0
2019,Press,0,0,1,0,1,1,0
2019,Close Friends,0,0,0,0,1,1,0
2019,Cross Me,0,0,0,0,1,1,0
2019,Go Loko,0,0,0,0,1,1,0
2019,Please Me,0,0,1,0,1,1,0
2019,Love Someone,0,0,0,1,0,0,0
2019,Clout,0,0,1,0,1,1,0
2019,Worth It,1,0,0,0,1,1,0
2019,Someone You Loved,0,0,0,0,0,0,0
2019,Miss Me More,1,0,0,1,0,0,0
2019,Walk Me Home,0,0,0,0,0,0,0
2019,Bury A Friend,0,0,0,0,1,1,0
2019,GIRL,0,0,0,1,0,0,0
2019,Just Us,0,0,1,0,1,1,0
2019,Knockin' Boots,0,0,1,1,0,0,0
2019,Even Though I'm Leaving,0,0,0,1,0,0,0
2019,Easier,0,0,0,0,0,0,0
2019,Girls Need Love,1,0,0,0,1,0,0
2019,The Git Up,0,0,0,1,1,1,0
2019,24/7,0,0,1,0,1,1,0
2019,Rearview Town,1,1,1,1,0,0,0
2019,Callaita,0,0,0,0,0,0,0
2019,Wish Wish,1,1,1,0,1,1,0
2019,All To Myself,0,0,1,1,0,0,0
2019,Eyes On You,0,0,1,1,0,0,0
2019,Before I Let Go,1,0,0,0,1,1,0
2019,Some Of It,1,0,0,1,0,0,0
2019,Here With Me,0,0,0,0,0,0,0
2019,Sanguine Paradise,0,0,0,0,1,1,0
2019,Soltera,0,0,1,0,0,0,0
2019,Talk You Out Of It,0,0,0,1,0,0,0
2019,Put A Date On It,1,0,0,0,0,1,0
2019,Love Ain't,0,0,0,1,0,0,0
2019,Shotta Flow,0,0,1,0,0,1,0
2019,Calma,0,0,1,0,0,0,0
2019,Heaven,0,0,0,0,0,0,0
2019,Call You Mine,0,0,0,0,0,0,0
2019,Ocean Eyes,0,0,0,0,0,0,0
2019,Big Ole Freak,0,0,1,0,0,1,0
2019,Please Tell Me,1,0,1,0,1,1,0
2019,On My Way To You,0,0,0,1,0,0,0
2019,Trampoline,0,0,0,0,0,0,0
2019,Raised On Country,0,0,0,1,0,0,0
2019,Te Robare,0,0,1,0,0,0,0
2019,Amor Genuino,0,0,0,0,0,0,0
2019,Only Human,0,0,0,0,0,0,0
2019,Bacc At It Again,1,0,1,0,1,1,0
2019,La La Land,1,0,0,0,1,1,0
2019,Robbery,1,0,1,0,1,1,0
2019,Baila Baila Baila,0,0,1,0,0,0,0
2019,XanaX Damage,0,1,1,0,1,1,0
2019,Government Official,0,0,0,0,1,1,0
2019,Otro Trago,0,0,1,0,0,0,0
2019,Old Town Road,0,0,0,1,1,1,0
2019,Bad Guy,0,0,0,0,1,1,0
2019,Talk,0,0,0,0,0,0,0
2019,I Don't Care,0,0,0,0,0,0,0
2019,Sucker,0,0,0,0,0,0,1
2019,Wow.,0,0,1,0,1,1,0
2019,Sunflower,1,0,0,0,1,1,0
2019,Suge,0,0,0,0,1,1,0
2019,Dancing With A Stranger,0,0,0,0,0,0,0
2019,Sweet But Psycho,0,0,0,0,1,0,0
2019,ME!,0,0,0,0,0,0,0
2019,Without Me,0,0,0,0,1,0,0
2019,7 Rings,0,0,0,0,1,1,0
2019,If I Can't Have You,0,0,0,0,0,0,0
2019,Never Really Over,0,0,0,0,0,0,0
2019,Press,0,0,1,0,1,1,0
2019,The London,1,0,1,0,1,1,0
2019,Happier,0,0,0,0,0,0,1
2019,God's Country,1,0,0,1,0,0,0
2019,Whiskey Glasses,1,1,0,1,0,0,0
2019,Truth Hurts,0,0,0,0,0,1,0
2019,Pop Out,0,0,1,0,1,1,0
2019,High Hopes,0,0,1,0,0,0,1
2019,Con Calma,1,0,0,0,0,0,0
2019,Middle Child,1,0,1,0,1,1,0
2019,Eastside,0,0,0,0,1,0,0
2019,Earfquake,0,0,0,0,1,1,0
2019,Act Up,0,0,1,0,1,1,0
2019,Going Bad,0,0,1,0,1,1,0
2019,Pure Water,0,0,1,0,1,1,0
2019,"Break Up With Your Girlfriend, I'm Bored",0,0,0,0,1,1,0
2019,Look What God Gave Her,0,1,1,1,0,0,0
2019,Look Back At It,0,0,1,0,0,1,0
2019,Better,0,0,0,0,1,0,0
2019,Sicko Mode,0,0,0,0,1,1,0
2019,Nightmare,0,0,0,0,0,0,1
2019,Rumor,0,0,0,1,0,0,0
2019,Beer Never Broke My Heart,0,0,0,1,0,0,1
2019,"Hey Look Ma, I Made It",0,0,0,0,0,0,1
2019,Envy Me,0,0,1,0,0,1,0
2019,Good As You,0,0,0,1,0,0,0
2019,Please Me,0,0,1,0,1,1,0
2019,Shallow,1,0,0,1,0,0,1
2019,When The Party's Over,1,0,1,0,1,0,0
2019,Beautiful Crazy,0,0,0,1,0,0,0
2019,Cross Me,0,0,0,0,1,1,0
2019,Miss Me More,1,0,0,1,0,0,0
2019,Speechless,0,0,0,1,0,0,0
2019,Close Friends,0,0,0,0,1,1,0
2019,Go Loko,0,0,0,0,1,1,0
2019,Wish Wish,1,1,1,0,1,1,0
2019,Walk Me Home,0,0,0,0,0,0,0
2019,Bury A Friend,0,0,0,0,1,1,0
2019,Mother's Daughter,0,0,1,0,1,0,0
2019,Clout,0,0,1,0,1,1,0
2019,Worth It,1,0,0,0,1,1,0
2019,Love Someone,0,0,0,1,0,0,0
2019,Someone You Loved,0,0,0,0,0,0,0
2019,Cool,1,0,0,0,0,0,1
2019,Here With Me,0,0,0,0,0,0,0
2019,GIRL,0,0,0,1,0,0,0
2019,Just Us,0,0,1,0,1,1,0
2019,Easier,0,0,0,0,0,0,0
2019,Knockin' Boots,0,0,1,1,0,0,0
2019,Eyes On You,0,0,1,1,0,0,0
2019,Girls Need Love,1,0,0,0,1,0,0
2019,Call You Mine,0,0,0,0,0,0,0
2019,Love Ain't,0,0,0,1,0,0,0
2019,Murder On My Mind,0,0,0,0,1,1,0
2019,The Search,1,0,1,0,1,1,0
2019,Sanguine Paradise,0,0,0,0,1,1,0
2019,Before I Let Go,1,0,0,0,1,1,0
2019,Put A Date On It,1,0,0,0,0,1,0
2019,Soltera,0,0,1,0,0,0,0
2019,All To Myself,0,0,1,1,0,0,0
2019,24/7,0,0,1,0,1,1,0
2019,Big Ole Freak,0,0,1,0,0,1,0
2019,On My Way To You,0,0,0,1,0,0,0
2019,Isis,1,0,1,0,1,1,0
2019,Some Of It,1,0,0,1,0,0,0
2019,Talk You Out Of It,0,0,0,1,0,0,0
2019,Shotta Flow,0,0,1,0,0,1,0
2019,Calma,0,0,1,0,0,0,0
2019,You Stay,0,0,1,0,1,1,0
2019,Homicide,0,0,0,0,1,1,0
2019,Ocean Eyes,0,0,0,0,0,0,0
2019,Robbery,1,0,1,0,1,1,0
2019,Rearview Town,1,1,1,1,0,0,0
2019,Baila Baila Baila,0,0,1,0,0,0,0
2019,La La Land,1,0,0,0,1,1,0
2019,Under Enemy Arms,0,0,0,0,0,1,0
2019,Racks In The Middle,1,0,1,0,0,1,0
2019,Te Robare,0,0,1,0,0,0,0
2019,Raised On Country,0,0,0,1,0,0,0
2019,Bacc At It Again,1,0,1,0,1,1,0
2019,Trampoline,0,0,0,0,0,0,0
2019,Night Shift,0,0,1,1,0,0,0
2019,Old Town Road,0,0,0,1,1,1,0
2019,Bad Guy,0,0,0,0,1,1,0
2019,Talk,0,0,0,0,0,0,0
