,value,genre_cate
1,country,country
2,atlanta,hip-hop/r&;b
3,alternative country,country
4,hip-hop,hip-hop/r&;b
5,trap,hip-hop/r&;b
6,memes,
7,remix,
8,country rap,rap
9,rap,rap
10,pop,pop
11,dark pop,pop
12,house,
13,alternative dance,
14,alternative,
15,alternative pop,pop
16,dance-pop,pop
17,dance,
18,electro-pop,pop
19,electro,
20,synth-pop,pop
21,canada,
22,uk,
23,boy band,
24,teen pop,pop
25,pop-rock,rock
26,east coast,hip-hop/r&;b
27,basketball,
28,nba,
29,alternative r&;b,hip-hop/r&;b
30,dmv,rap
31,r&;b,hip-hop/r&;b
32,disney,
33,marvel,
34,soundtrack,
35,lgbtq+,
36,ballad,
37,electronic pop,pop
38,electronic,
39,jazz fusion,
40,adult alternative,
41,producer,
42,alternative rock,rock
43,adult contemporary,
44,future bass,
45,dream-pop,pop
46,bubblegum pop,pop
47,rock,rock
48,power pop,pop
49,classical crossover,
50,motown,hip-hop/r&;b
51,latin pop,pop
52,dancehall,
53,reggaeton,
54,en espa\xc3\xb1ol,
55,latin urban,
56,latin music,
57,west coast,hip-hop/r&;b
58,pop country,country
59,folk,
60,musicals,
61,screen,
62,hardcore hip-hop,hip-hop/r&;b
63,experimental,
64,neo soul,hip-hop/r&;b
65,neo-psychedelia,
66,psychedelic,
67,trip-hop,hip-hop/r&;b
68,lo-fi,hip-hop/r&;b
69,pop-punk,rock
70,puerto rico,
71,australia,
72,soul pop,pop
73,edm,
74,electro house,
75,bounce,rap
76,cover,
77,soul,
78,funk,
79,ambient,
80,indie pop,pop
81,progressive house,
82,dubstep,
83,electronica,
84,nederland,
85,electronic trap,rap
86,tropical house,
87,art pop,pop
88,emo rap,rap
89,emo,rap
90,industrial,
91,scandipop,
92,scandinavia,
93,sverige,
94,feminism,
95,conscious hip-hop,hip-hop/r&;b
96,charity,
97,comedy,
98,satire,
99,afrobeats,
100,climate change,
101,electro-funk,
102,funk-pop,pop
103,colombia,
104,nu disco,
105,disco,
106,nigeria,
107,psychedelic soul,
108,indie rock,rock
109,singer-songwriter,
110,indie,
111,children&#39;s music,
112,worship,
113,christian pop,pop
114,christian,
115,cloud rap,rap
116,afro trap,rap
117,new wave,pop
118,gangsta rap,rap
119,girl group,
120,korean,
121,k-pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d),pop
122,art rock,rock
123,glam rock,rock
124,latin trap,rap
125,dominican republic,
126,bachata,
127,acoustic,
128,chillhop,hip-hop/r&;b
129,bedroom pop,pop
130,youtube,
131,french pop,pop
132,france,
133,boom bap,hip-hop/r&;b
134,aussie hip-hop,hip-hop/r&;b
135,island music,
136,tv,
137,piano,
138,danmark,
139,bass music,
140,reggae,
141,beef,
142,instrumental hip-hop,hip-hop/r&;b
143,cuba,
144,m\xc3\xa9xico,
145,retro,
146,theme song,
147,gaming,
148,japan,
149,screamo,
150,chillstep,
151,christmas,
152,rockabilly,rock
153,holiday,
154,alternative metal,rock
