"","value"
"1","country,atlanta,alternative country,hip-hop,trap,memes,remix,country rap,rap"
"2","pop"
"3","hip-hop,dark pop,house,trap,memes,alternative dance,alternative,alternative pop,dance-pop,dance,electro-pop,electro,pop"
"4","synth-pop,pop"
"5","canada,uk,dance,dance-pop,pop"
"6","alternative pop,boy band,teen pop,pop-rock,pop"
"7","trap,east coast,rap"
"8","hip-hop,rap,basketball,nba,canada"
"9","alternative r&;b,hip-hop,rap,pop,dmv,canada,r&;b"
"10","memes,hip-hop,trap,rap"
"11","pop,rap"
"12","rap,disney,hip-hop,marvel,soundtrack,r&;b,pop"
"13","synth-pop,lgbtq+,pop"
"14","canada,teen pop,pop"
"15","uk,pop"
"16","memes,atlanta,hip-hop,trap,rap"
"17","synth-pop,r&;b,alternative pop,ballad,pop,alternative"
"18","country"
"19","trap,rap"
"20","east coast,hip-hop,rap"
"21","dance-pop,dance,electronic pop,electro,r&;b,electronic,electro-pop,uk,pop"
"22","country,atlanta,east coast,trap,country rap,hip-hop,rap"
"23","memes,trap,r&;b,pop"
"24","pop-rock,jazz fusion,alternative,alternative pop,electro-pop,pop"
"25","adult alternative,producer,alternative dance,alternative pop,alternative rock,adult contemporary,electro-pop,future bass,electronic,dance,pop"
"26","electro-pop,synth-pop,pop"
"27","atlanta,dance,rap,country rap,country"
"28","hip-hop,east coast,atlanta,rap"
"29","dream-pop,bubblegum pop,dance-pop,pop"
"30","adult alternative,rock,power pop,pop-rock,alternative,alternative rock,classical crossover,electro-pop,alternative pop,pop"
"31","rock,country"
"32","motown,east coast,rap"
"33","r&;b,pop"
"34","latin pop,dancehall,pop,reggaeton,en espa\xc3\xb1ol,latin urban,latin music"
"35","atlanta,trap,west coast,motown,rap"
"36","rap,r&;b,uk,pop"
"37","east coast,canada,rap"
"38","electro-pop,pop,r&;b"
"39","pop country,folk,musicals,screen,pop-rock,soundtrack,pop"
"40","hardcore hip-hop,trap,hip-hop,rap"
"41","hip-hop,memes,rap,canada,trap"
"42","hip-hop,atlanta,alternative r&;b,experimental,neo soul,r&;b,rap,neo-psychedelia,alternative,psychedelic"
"43","rap"
"44","trap,trip-hop,lo-fi,r&;b,pop"
"45","alternative rock,alternative pop,alternative,pop-punk,pop"
"46","trap,puerto rico,west coast,rap"
"47","teen pop,pop-rock,pop"
"48","east coast,motown,rap"
"49","rap,east coast,r&;b"
"50","rap,r&;b"
"51","pop,country,pop country"
"52","australia,pop"
"53","rap,east coast,west coast,soul pop,r&;b,pop"
"54","pop,latin pop,dancehall,reggaeton,latin music,latin urban,puerto rico,en espa\xc3\xb1ol"
"55","east coast,uk,r&;b,rap"
"56","r&;b"
"57","atlanta,trap,rap"
"58","electronic pop,edm,electro house,electro,electro-pop,electronic,dance-pop,dance,pop"
"59","atlanta,canada,remix,r&;b"
"60","reggaeton,latin music,latin urban,puerto rico,latin pop,en espa\xc3\xb1ol,pop"
"61","hip-hop,rap"
"62","bounce,cover,soundtrack,pop,soul pop,soul,funk,r&;b"
"63","trap,r&;b,canada,rap"
"64","dancehall,reggaeton,latin music,latin urban,en espa\xc3\xb1ol,puerto rico,latin pop,pop"
"65","pop,rap,hip-hop,r&;b"
"66","alternative dance,synth-pop,ambient,indie pop,alternative pop,alternative,pop"
"67","progressive house,house,electro house,electronic pop,alternative pop,electronic,dubstep,dance,electro,electronica,electro-pop,edm,synth-pop,pop"
"68","east coast,trap,rap"
"69","puerto rico,reggaeton,latin music,latin pop,latin urban,remix,en espa\xc3\xb1ol,pop"
"70","canada,east coast,rap"
"71","atlanta,r&;b,latin music,en espa\xc3\xb1ol,rap"
"72","latin pop,reggaeton,remix,puerto rico,en espa\xc3\xb1ol,latin urban,latin music,pop"
"73","east coast,rap"
"74","hip-hop,basketball,nba,canada,rap"
"75","electronic pop,electro,electro house,nederland,electronic,electro-pop,rap,electronic trap,tropical house,dance-pop,pop"
"76","r&;b,ambient,art pop,indie pop,ballad,pop"
"77","east coast,atlanta,rap"
"78","synth-pop,alternative r&;b,pop,ballad,electronic"
"79","edm,pop-punk,electronic,pop"
"80","reggaeton,puerto rico,latin urban,latin music,latin pop,en espa\xc3\xb1ol,pop"
"81","trap,emo rap,emo,rap"
"82","atlanta,motown,trap,rap"
"83","trap,alternative,dark pop,industrial,alternative pop,electronica,pop"
"84","electro,edm,electro-pop,dance,dance-pop,electronic,scandipop,scandinavia,sverige,pop"
"85","r&;b,trap,atlanta,rap"
